Plaintext,key,iv,Encryptedtext,Mode
"F1c/*e%anklqS%kV.NofE;S/""-U3N+\33i+V?[l#FrJ?x~(yKL",b'\xb1\x8a\xfd\xe4\x93\x92\xc9n\x02\x00\n\xe7\xfa\x11?o',NONE,"b'2\xa4\xa4\x12i(\x7f\xc2e\xc1\xc6\xf7jc\xf1\xfc\x95\x87\xb5\xfdn-s\xb61\x11""\x05\xd4\x0bI\xe8\x13\xae)=\xfd.\x84&\x9doH\xac\xc97Db)\xcdi\x9b\xfa\xd2\xce\x14\x92\x1f.\xd9R5b\xf9'",ECB
"F1c/*e%anklqS%kV.NofE;S/""-U3N+\33i+V?[l#FrJ?x~(yKL",b'\xb1\x8a\xfd\xe4\x93\x92\xc9n\x02\x00\n\xe7\xfa\x11?o',b';\xa9\x1f\x04\xb9!\x06\x07Q\x021a\x05\x08W\x9d',b';\xa9\x1f\x04\xb9!\x06\x07Q\x021a\x05\x08W\x9d\xd7\x02\xa9\xd4\x08\xdf\xa9\xc0K!\xb1\xed$\xfc\x1c\xb2\xda\xc0\xf1%\xf6\xf2}\x10\x86P\x07<\xc00\x11\xa7\x9d\xde\x81\x99)\xba\x14w\xd6\xf0\x84\xbd\xb2\x84\xac\x1fq2Q\xc2\xdf\x04\xa7u8\xb6\xc6R\xe5v\x8b\xe1',CBC
"F1c/*e%anklqS%kV.NofE;S/""-U3N+\33i+V?[l#FrJ?x~(yKL",b'\xb1\x8a\xfd\xe4\x93\x92\xc9n\x02\x00\n\xe7\xfa\x11?o',b';\xa9\x1f\x04\xb9!\x06\x07Q\x021a\x05\x08W\x9d',b';\xa9\x1f\x04\xb9!\x06\x07Q\x021a\x05\x08W\x9d^}\xa6\xf7}\xeb\x19\xba[\x156I\xa9?/?\xd2\xd7!\xc5\xaf\x8c\x89\xfc\x88V9f\xb7\x05&g\x9e\xf0B\xa4\xf0\xa4\x19O7u;\xba}\x8b+\xf7nh',OFB
"'6nm#KHVz9.V \%/<;qSpbs:`D=4Ds:[Q%eB1B?""3A34WCD,)S",b'\xb1\x8a\xfd\xe4\x93\x92\xc9n\x02\x00\n\xe7\xfa\x11?o',NONE,b'\xe1\xeb1\x0e\x1c\xbc>\xdf\xca\xfd\xd6N\xdcd\xa1\xbd\xcf*\xdf\xe8\x1fu\x9c\x9e\x8c\x1d\x89f\xd8\x053\x1d\x0b\x1a\xfd~\x81\x1d\x9a\x97a>\xa2\x8c\x02\xf9\x90\xbc$hb\x10w\xb3\xda\xd2\xe4\xf1\xe0\n\xb6\xbdfl',ECB
"'6nm#KHVz9.V \%/<;qSpbs:`D=4Ds:[Q%eB1B?""3A34WCD,)S",b'\xb1\x8a\xfd\xe4\x93\x92\xc9n\x02\x00\n\xe7\xfa\x11?o',b'\x99\xb7\xb7\xa4n\xda\xed\xab\xf5\re\x06\xa0\xc5?\xa3',b'\x99\xb7\xb7\xa4n\xda\xed\xab\xf5\re\x06\xa0\xc5?\xa3O\xd8p\xfc\xe8*\x9eJs\xcbR\xa4\x89y\x01\x9f\x1233\xe5Q-\x852\xe7\x8bb\xc2Nl9\xaf\xdc\xa1\x01s\xc2d\xee\x81sv\x84\xe0\xab4\x9eK\x8adSi\x13\x9aj\xdd\xdc\xfb\xc7\x00o\xfdSz',CBC
"'6nm#KHVz9.V \%/<;qSpbs:`D=4Ds:[Q%eB1B?""3A34WCD,)S",b'\xb1\x8a\xfd\xe4\x93\x92\xc9n\x02\x00\n\xe7\xfa\x11?o',b'\x99\xb7\xb7\xa4n\xda\xed\xab\xf5\re\x06\xa0\xc5?\xa3',"b'\x99\xb7\xb7\xa4n\xda\xed\xab\xf5\re\x06\xa0\xc5?\xa3\xd2{E\xc7\xa1\xb9g>\x1c""t\xc0!a%\x1c\xb80\xf3\xf3\xa5\xa97\x17\xfb\x80\xffB~\xbbG\xdd@\xe6\x93""%+\xdcVu\xf9\xe4e\x04t\xa9\xbc\xc8B'",OFB
"kl@`Xj7 4~kEqYkh""'1.:5ZaAm}4fO^;!?:FobUc'L~]\?1:9x",b'\xb1\x8a\xfd\xe4\x93\x92\xc9n\x02\x00\n\xe7\xfa\x11?o',NONE,b'i\xecg\xf5-\xb6\x9b\x8a\x07\xa1\t8!\x0f\x0ca\xa2+\xffA}\x07h\xb1m}8\x86:\x07\xe2\xb3B\xadO\xe9\xe2\xd2\xa1\xb5\x0c7E\xdf\xaeC\xc0d\xadn\xdb\xcbx1\xca\xb6\xd8\xc5\xb2\xf8C\x88\xfc\xbe',ECB
"kl@`Xj7 4~kEqYkh""'1.:5ZaAm}4fO^;!?:FobUc'L~]\?1:9x",b'\xb1\x8a\xfd\xe4\x93\x92\xc9n\x02\x00\n\xe7\xfa\x11?o',b'&\xd5\xcf_2\xc3+3\x8e/\x1f\x8d\x04\x14\xb7\xc3',b'&\xd5\xcf_2\xc3+3\x8e/\x1f\x8d\x04\x14\xb7\xc32\xb5\xe7^o\x11T\xec\x1e+\xde\xa0\xc0\x19\xb9e\x02\xb6\x04\xe6b\xdb\x15\xda\xe5\x98\\\x11\xd2N\xbcp\xb9\xc19\xcbh\n@\xca\x0e|(6\t\xacPeI\t\xc4hy\xe1|\x9e\xab\x05R\x929Ae#',CBC
"kl@`Xj7 4~kEqYkh""'1.:5ZaAm}4fO^;!?:FobUc'L~]\?1:9x",b'\xb1\x8a\xfd\xe4\x93\x92\xc9n\x02\x00\n\xe7\xfa\x11?o',b'&\xd5\xcf_2\xc3+3\x8e/\x1f\x8d\x04\x14\xb7\xc3',b'&\xd5\xcf_2\xc3+3\x8e/\x1f\x8d\x04\x14\xb7\xc37\x1d\xa8\xa9\xc2\xf6\x7f\x1e+\x835\x87\xd8\x10\\l\xda\xa1<b\x85\xdc\xd9\xec7\x13\xbbc/AD\x9f\xd2r\xe6K\xdc\x13Q;\xcd\xdb\xacDM\xf5l\xae\xf8\x06',OFB
o.FZR~2/X*tA3:&02@YC4F9%aH_WcbxSn*tS) .W\W|Nm9RIA>,b'\xb1\x8a\xfd\xe4\x93\x92\xc9n\x02\x00\n\xe7\xfa\x11?o',NONE,"b""\xfe\xd6\x965\xb5\x02N\xbd\xb1\xb8L\xe4`\x84\x135\xd0@YS\x11\xe9\xb9O\x8f/\xcf\xc1'\x06\xc8\xf3=5\x16)\x10\xdbKFs1\x82\xa3$\x89\xe9\x81P\xbf\xcf\xb8\xe5\xd6\x06\xef\xc32m\x97pi\xbem""",ECB
